kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_sma,koi_model_snr,koi_num_transits,koi_max_mult_ev,koi_max_sngle_ev,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smass,koi_count,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
K06355.01,CANDIDATE,4.37198905,2.177,103.7,0.93,0.0515,9.9,308,8.651935,3.0517602,1085,327.65,5823,4.489,0.919,0.951,2,0,0,0,0
K06355.02,CANDIDATE,6.72876606,2.277,117.4,1.03,0.0686,7.8,195,7.775824,3.379409,940,184.66,5823,4.489,0.919,0.951,2,0,0,0,0
K06356.01,FALSE POSITIVE,24.09002065,11.0494,6782.2,9.39,0.1475,252.3,43,183.02061,39.32722,551,21.85,5354,4.495,0.804,0.737,1,0,1,0,0
K06357.01,FALSE POSITIVE,4.4158933,1.155,191.1,1.42,0.0549,5.8,246,7.224046,10.34212,1138,395.82,5977,4.473,1.022,1.133,1,1,0,0,0
K06358.01,CANDIDATE,3.09383248,1.576,373.7,1.32,0.0378,9.7,282,8.469138,3.419556,998,233.91,5327,4.646,0.681,0.772,1,0,0,0,0
K06359.01,FALSE POSITIVE,2.666961614,2.4774,7583.4,40.68,0.0383,249.5,400,414.0475,38.914867,1469,1104.26,6609,4.484,0.974,1.073,1,0,1,0,0
K06488.01,FALSE POSITIVE,1.17430183,9.587,64.5,2.22,0.026,13.5,914,8.688242,6.270037,3020,19656.66,7537,4.007,2.145,1.703,1,1,0,0,0
K06489.01,CANDIDATE,14.05652256,2.56,,,,,77,7.3308415,6.2966743,,,,,,,1,0,0,0,0
K06490.01,FALSE POSITIVE,15.03946452,5.39796,66876.8,51.71,0.1224,1133.5,74,2873.105,601.31525,877,139.95,6410,4.329,1.178,1.077,1,0,1,0,0
K06491.01,FALSE POSITIVE,3.693951168,2.2534,28290,20.88,0.0463,173.2,293,1277.6678,118.6181,1148,411.07,5968,4.534,0.881,0.97,1,0,1,0,0
K06492.01,FALSE POSITIVE,1.05680287,5.748,82.3,0.83,0.0201,10.9,831,7.5739937,2.9905887,1633,1686.88,5584,4.532,0.885,0.974,1,1,0,1,0
K06493.01,FALSE POSITIVE,0.787122102,3.0999,596.8,20.76,0.0154,57.4,1104,10.321272,3.5526955,1655,1775.05,5210,4.528,0.799,0.786,1,0,1,1,1
K06494.01,FALSE POSITIVE,2.15045295,4.453,169.1,24.27,0.0469,25.8,494,10.007565,10.677802,4340,83894.63,4899,2.356,18.92,3.05,1,0,1,0,1
K06495.01,FALSE POSITIVE,0.561524348,3.336,34.1,0.43,0.0116,15.7,1899,7.656622,7.1207843,2050,4173.47,5919,4.55,0.715,0.66,1,1,0,1,0
K06610.01,CANDIDATE,315.0771719,10.31,,,,,3,8.19755,6.96441,,,,,,,1,0,0,0,0
K06611.01,FALSE POSITIVE,1.21607873,4.686,29.4,1.92,0.0241,11.2,1107,11.588787,2.98135,2803,14545.24,6234,3.741,2.5,1.255,1,0,1,0,0
K06612.01,FALSE POSITIVE,38.49536985,12.8716,93327,124.34,0.2458,201.9,35,3021.7864,1419.4133,824,109.13,6050,3.823,2.345,1.332,2,0,1,0,0
K06613.01,FALSE POSITIVE,4.18224416,6.209,57.2,1.07,0.049,13.8,249,9.947273,4.332126,1206,500.7,6057,4.392,0.999,0.896,1,0,0,0,1
K06614.01,FALSE POSITIVE,0.643002821,1.02608,2671.5,36.82,0.0136,295.6,2077,82.748825,5.9547095,2188,5409.39,5681,4.315,1.036,0.807,1,0,1,1,0
K06615.01,FALSE POSITIVE,1.95119541,1.907,59.7,0.47,0.027,7.7,690,7.560964,7.9206243,1050,287.41,4936,4.681,0.628,0.689,1,1,0,0,0
K06616.01,FALSE POSITIVE,53.220417,17.7344,72895.3,55.22,0.2977,4563.5,25,2963.028,1061.6111,655,43.63,5653,3.905,2.057,1.24,1,0,1,0,0
K06617.01,CANDIDATE,8.0018897,3.425,102.7,0.9,0.0776,9.8,168,7.3697395,2.6537175,864,131.75,5830,4.54,0.876,0.97,1,0,0,0,0
